,Neighborhood,Density,Diversity,Condition,Condition Label,Vacancies,Sidewalk Damage,Tree Count
0,Alamo Square,42662.7954007,0,3.19271948608,fair,0.0,0.308977035491,479.0
1,Anza Vista,36202.2070547,1,3.29598308668,fair,0.0,0.201612903226,496.0
2,Aquatic Park / Ft. Mason,7271.68663924,1,2.42028985507,poor,0.0,0.442857142857,140.0
3,Ashbury Heights,53499.4557395,0,2.83663366337,fair,0.0322966507177,0.416267942584,836.0
4,Balboa Terrace,29987.1810778,1,2.88405797101,fair,0.0873015873016,0.26455026455,378.0
5,Bayview,10714.4691946,1,3.36371168186,fair,0.0,0.2796812749,1255.0
6,Bernal Heights,41443.3162453,0,2.64963034394,fair,0.0375269147954,0.436481082744,3251.0
7,Bret Harte,8159.24686803,1,3.49433962264,fair,0.0,0.188498402556,313.0
8,Buena Vista,35833.169386,0,2.8654028436,fair,0.0280036133695,0.407407407407,1107.0
9,Castro,59528.8198011,0,2.4703125,poor,0.018154311649,0.369137670197,661.0
10,Cathedral Hill,17775.7082835,2,3.41191709845,fair,0.0,0.274559193955,397.0
11,Cayuga,23841.7002677,0,2.7850877193,fair,0.138231631382,0.326276463263,803.0
12,Central Waterfront,5097.50990123,1,3.59454191033,good,0.126036484245,0.0978441127695,603.0
13,Chinatown,5939.48006005,2,3.24705882353,fair,0.0,0.093023255814,86.0
14,Civic Center,4345.44323661,1,3.09615384615,fair,0.0,0.0576923076923,104.0
15,Clarendon Heights,1213.03082209,0,2.51724137931,fair,0.0333333333333,0.0,30.0
16,Cole Valley,49991.9343709,0,3.08153477218,fair,0.0,0.465558194774,421.0
17,Corona Heights,34796.9644521,0,2.58878504673,fair,0.0377777777778,0.644444444444,450.0
18,Cow Hollow,2283.32990405,2,3.56097560976,good,0.0,0.341463414634,41.0
19,Crocker Amazon,10908.9027983,0,2.79073756432,fair,0.178272980501,0.672701949861,718.0
20,Diamond Heights,17401.857696,0,2.29234338747,poor,0.133466135458,0.0577689243028,502.0
21,Dogpatch,37221.7967599,1,3.44700460829,fair,0.091922005571,0.0849582172702,718.0
22,Dolores Heights,52487.8723053,0,2.58468125595,fair,0.0364208633094,0.386241007194,2224.0
23,Downtown / Union Square,794.531527463,1,3.07692307692,fair,0.0,0.0,13.0
24,Duboce Triangle,57435.4128157,0,2.48093023256,poor,0.0250223413762,0.433422698838,1119.0
25,Eureka Valley,50899.5985589,0,2.29538645896,poor,0.0193621867882,0.478359908884,1756.0
26,Excelsior,26350.3679353,0,2.8464888405,fair,0.0783433133733,0.655688622754,2004.0
27,Fairmount,46613.0374183,0,2.68505942275,fair,0.0384,0.4984,1250.0
28,Financial District,849.674362965,2,3.4375,fair,0.0,0.21875,32.0
29,Fishermans Wharf,4016.05141252,2,2.68067226891,fair,0.0,0.487603305785,121.0
30,Forest Hill,54576.8594457,0,2.6240725474,fair,0.0455616653574,0.0997643362137,1273.0
31,Forest Knolls,538.680869302,2,2.9,fair,0.0,0.363636363636,11.0
32,Glen Park,30498.1493151,0,2.50774526678,fair,0.0506838294449,0.392598551891,1243.0
33,Golden Gate Heights,23382.6840195,0,3.08010335917,fair,0.118243243243,0.275337837838,1776.0
34,Haight Ashbury,52031.647044,0,3.1878238342,fair,0.0,0.290726817043,798.0
35,Hayes Valley,85780.3874955,0,3.30283018868,fair,0.0158033362599,0.237928007024,1139.0
36,Holly Park,44409.9968,0,2.57378984652,fair,0.0474613686534,0.578366445916,906.0
37,Hunters Point,1632.21048995,1,3.53703703704,good,0.0,0.331818181818,220.0
38,Ingleside,1370.90505997,2,3.32203389831,fair,0.0,0.0338983050847,59.0
39,Ingleside Terraces,822.391721743,2,3.21739130435,fair,0.0,0.0869565217391,23.0
40,Inner Richmond,49203.1979507,1,3.28979111503,fair,0.324196410964,0.087556694932,5071.0
